date,channel,spend,impressions,clicks,conversions,revenue
2025-01-19,Email,105.92,13689,287,16,1684.93
2025-01-19,Organic,0.0,5374,261,4,414.27
2025-01-20,Google Ads,541.25,39718,1969,93,7912.31
2025-01-20,Meta Ads,708.22,82252,4342,169,15943.92
2025-01-20,LinkedIn Ads,293.24,37312,1464,44,4209.67
2025-01-20,Email,86.26,9237,270,19,1401.68
2025-01-20,Organic,0.0,3173,108,0,0.0
2025-01-21,Google Ads,773.27,73639,3415,166,16972.56
2025-01-21,Meta Ads,791.91,98346,3903,150,13290.79
2025-01-21,LinkedIn Ads,482.34,36397,1603,52,2837.2
2025-01-21,Email,178.84,22288,599,44,3890.22
2025-01-21,Organic,0.0,3296,68,1,96.95
2025-01-22,Google Ads,836.69,107767,3740,171,17414.67
2025-01-22,Meta Ads,447.79,37797,681,23,2123.25
2025-01-22,LinkedIn Ads,474.74,46731,1948,57,4463.09
2025-01-22,Email,105.73,7660,166,9,689.53
2025-01-22,Organic,0.0,3928,145,0,0.0
2025-01-23,Google Ads,625.84,47274,1618,73,6339.14
2025-01-23,Meta Ads,1045.36,83020,2498,96,7043.67
2025-01-23,LinkedIn Ads,402.38,50474,1233,37,3251.61
2025-01-23,Email,167.91,19012,332,24,2209.57
2025-01-23,Organic,0.0,4910,178,2,141.33
2025-01-24,Google Ads,538.55,46398,1396,66,4969.89
2025-01-24,Meta Ads,510.73,39420,1995,80,7857.97
2025-01-24,LinkedIn Ads,399.2,30026,1095,35,3774.64
2025-01-24,Email,136.17,13058,262,16,1028.13
2025-01-24,Organic,0.0,3805,149,2,120.86
2025-01-25,Google Ads,1011.73,71278,1711,81,6634.42
2025-01-25,Meta Ads,301.36,36479,675,28,2440.99
2025-01-25,LinkedIn Ads,579.52,69108,3022,91,5351.49
2025-01-25,Email,198.5,23882,554,39,2838.35
2025-01-25,Organic,0.0,4687,91,0,0.0
2025-01-26,Google Ads,643.69,63640,2310,113,9353.21
2025-01-26,Meta Ads,628.69,49078,860,33,3181.32
2025-01-26,LinkedIn Ads,510.63,53993,1828,58,3389.89
2025-01-26,Email,89.02,11196,539,38,3280.95
2025-01-26,Organic,0.0,5135,154,3,270.89
2025-01-27,Google Ads,1019.68,120294,5774,290,22154.17
2025-01-27,Meta Ads,580.87,62748,3219,133,7898.98
2025-01-27,LinkedIn Ads,349.92,39480,2012,68,6502.08
2025-01-27,Email,186.25,17940,683,47,2857.55
2025-01-27,Organic,0.0,4497,79,1,62.04
2025-01-28,Google Ads,479.85,54622,2335,119,13159.9
2025-01-28,Meta Ads,694.34,72481,3979,169,16925.08
2025-01-28,LinkedIn Ads,350.31,28821,1255,42,4604.52
2025-01-28,Email,118.84,9052,330,23,1197.2
2025-01-28,Organic,0.0,5495,169,2,181.32
2025-01-29,Google Ads,1070.32,121162,4924,260,23712.4
2025-01-29,Meta Ads,1028.44,87528,2523,106,11388.71
2025-01-29,LinkedIn Ads,465.44,36863,1417,47,5719.26
2025-01-29,Email,123.88,8805,439,34,3260.14
2025-01-29,Organic,0.0,3847,179,2,209.06
2025-01-30,Google Ads,758.83,61601,2987,163,10835.56
2025-01-30,Meta Ads,507.61,42458,1669,77,5747.59
2025-01-30,LinkedIn Ads,461.62,49034,959,32,3224.86
2025-01-30,Email,112.58,14114,474,39,3292.48
2025-01-30,Organic,0.0,5187,124,0,0.0
2025-01-31,Google Ads,898.5,85479,4410,247,24998.1
2025-01-31,Meta Ads,377.14,40707,631,27,2504.25
2025-01-31,LinkedIn Ads,320.09,41551,1457,52,3891.5
2025-01-31,Email,124.48,14314,334,27,2357.79
2025-01-31,Organic,0.0,4832,193,6,474.49
2025-02-01,Google Ads,528.58,59647,2153,127,7871.44
2025-02-01,Meta Ads,1189.31,118717,5415,257,19085.55
2025-02-01,LinkedIn Ads,410.97,35482,1805,66,7010.81
2025-02-01,Email,123.75,15931,774,65,6523.68
2025-02-01,Organic,0.0,2812,67,2,136.13
2025-02-02,Google Ads,781.98,85364,2093,126,10255.78
2025-02-02,Meta Ads,634.41,71901,3539,172,17611.07
2025-02-02,LinkedIn Ads,291.89,25566,1300,50,4494.6
2025-02-02,Email,82.47,7857,398,33,3324.26
2025-02-02,Organic,0.0,3245,155,2,167.1
2025-02-03,Google Ads,793.01,92329,2724,168,13355.23
2025-02-03,Meta Ads,782.67,100551,4644,232,16323.59
2025-02-03,LinkedIn Ads,398.01,32209,1107,43,4752.42
2025-02-03,Email,122.63,13726,426,39,2612.9
2025-02-03,Organic,0.0,5041,274,3,259.54
2025-02-04,Google Ads,533.34,55067,2260,141,10992.75
2025-02-04,Meta Ads,792.21,55977,1146,61,6622.0
2025-02-04,LinkedIn Ads,299.62,37412,1187,47,4265.45
2025-02-04,Email,48.91,3561,77,6,527.87
2025-02-04,Organic,0.0,5863,268,7,581.92
2025-02-05,Google Ads,1068.31,135630,4186,266,15608.4
2025-02-05,Meta Ads,678.32,69453,1491,77,6813.74
2025-02-05,LinkedIn Ads,351.99,31912,927,41,4502.81
2025-02-05,Email,98.87,10470,349,33,2510.74
2025-02-05,Organic,0.0,5364,109,2,188.62
2025-02-06,Google Ads,939.98,115032,5094,319,29793.6
2025-02-06,Meta Ads,889.14,99171,4856,250,15021.4
2025-02-06,LinkedIn Ads,442.96,35806,1350,54,3714.34
2025-02-06,Email,151.59,19019,1024,94,8950.92
2025-02-06,Organic,0.0,3489,59,4,177.25
2025-02-07,Google Ads,1203.27,110558,4137,264,26474.79
2025-02-07,Meta Ads,691.23,70378,2297,121,6828.31
2025-02-07,LinkedIn Ads,417.54,45804,2038,84,3804.46
2025-02-07,Email,141.89,17395,551,51,4319.79
2025-02-07,Organic,0.0,2750,137,4,342.82
2025-02-08,Google Ads,1175.21,110606,3782,236,23316.19
2025-02-08,Meta Ads,754.93,97419,4455,225,13189.73
2025-02-08,LinkedIn Ads,312.74,23964,699,29,2027.34
2025-02-08,Email,88.47,7433,124,7,468.22
2025-02-08,Organic,0.0,5915,118,3,186.04
2025-02-09,Google Ads,1087.1,140617,6290,391,32360.01
2025-02-09,Meta Ads,584.6,70309,1703,86,6663.53
2025-02-09,LinkedIn Ads,446.86,48165,1139,46,5636.17
2025-02-09,Email,134.09,13610,345,27,3577.79
2025-02-09,Organic,0.0,5716,120,1,94.49
2025-02-10,Google Ads,945.66,99839,3814,230,17435.88
2025-02-10,Meta Ads,632.15,77960,4149,208,18723.51
2025-02-10,LinkedIn Ads,465.85,35041,1098,46,2958.27
2025-02-10,Email,98.07,11121,387,33,2915.78
2025-02-10,Organic,0.0,3092,53,1,100.46
2025-02-11,Google Ads,934.06,102491,3766,227,20689.05
2025-02-11,Meta Ads,811.65,82199,4087,198,15421.79
2025-02-11,LinkedIn Ads,353.55,29811,1556,57,5116.72
2025-02-11,Email,101.11,8225,413,35,3266.93
2025-02-11,Organic,0.0,3554,170,2,144.99
2025-02-12,Google Ads,744.85,88695,4282,250,20403.57
2025-02-12,Meta Ads,700.6,61107,2424,115,9930.17
2025-02-12,LinkedIn Ads,475.33,48673,2248,80,7119.9
2025-02-12,Email,107.96,11063,592,52,3295.63
2025-02-12,Organic,0.0,3745,169,2,184.75
2025-02-13,Google Ads,1010.34,113678,3858,217,16535.79
2025-02-13,Meta Ads,1034.39,112598,4366,201,16576.8
2025-02-13,LinkedIn Ads,355.08,42300,1061,40,3806.98
2025-02-13,Email,118.56,9026,443,39,3377.99
2025-02-13,Organic,0.0,3598,85,2,153.08
2025-02-14,Google Ads,611.93,77747,1635,91,8622.52
2025-02-14,Meta Ads,682.64,64976,2634,115,8581.46
2025-02-14,LinkedIn Ads,395.44,48894,1183,41,2715.3
2025-02-14,Email,163.31,19901,675,54,4959.97
2025-02-14,Organic,0.0,3090,102,1,85.35
2025-02-15,Google Ads,753.76,94001,5047,270,22295.42
2025-02-15,Meta Ads,465.28,32603,1269,52,4892.81
2025-02-15,LinkedIn Ads,251.32,20017,821,28,2754.11
2025-02-15,Email,68.47,6572,357,27,1817.95
2025-02-15,Organic,0.0,4513,138,7,542.93
2025-02-16,Google Ads,1130.29,137451,6349,325,27507.14
2025-02-16,Meta Ads,600.07,45783,1130,52,4402.37
2025-02-16,LinkedIn Ads,452.49,31939,896,33,2371.22
2025-02-16,Email,121.13,11027,180,13,962.28
2025-02-16,Organic,0.0,4741,256,6,421.91
2025-02-17,Google Ads,979.18,75840,3856,193,21331.41
2025-02-17,Meta Ads,942.05,100588,2711,113,10553.11
2025-02-17,LinkedIn Ads,366.46,40181,1491,52,5474.15
2025-02-17,Email,133.92,13238,220,15,1001.73
2025-02-17,Organic,0.0,5525,96,0,0.0
2025-02-18,Google Ads,827.92,106430,3030,148,13740.69
2025-02-18,Meta Ads,599.6,65669,2293,95,8696.76
2025-02-18,LinkedIn Ads,403.8,33100,1397,43,3488.99
2025-02-18,Email,69.94,8539,376,25,2715.25
2025-02-18,Organic,0.0,3015,133,2,217.41
2025-02-19,Google Ads,1114.27,117313,1897,96,10418.94
2025-02-19,Meta Ads,429.88,45508,2126,81,5228.91
2025-02-19,LinkedIn Ads,332.75,39983,976,25,1946.39
2025-02-19,Email,161.65,17152,691,48,2406.23
2025-02-19,Organic,0.0,4840,238,0,0.0
2025-02-20,Google Ads,864.74,87242,2562,122,8255.31
2025-02-20,Meta Ads,755.86,70646,3799,148,9814.4
2025-02-20,LinkedIn Ads,510.77,39764,2139,62,3823.01
2025-02-20,Email,111.83,8321,181,8,710.5
2025-02-20,Organic,0.0,3361,70,5,330.51
2025-02-21,Google Ads,608.29,64680,1893,85,9130.73
2025-02-21,Meta Ads,731.11,82120,2698,103,10438.18
2025-02-21,LinkedIn Ads,348.36,45008,896,26,1727.44
2025-02-21,Email,138.88,11221,208,14,1002.14
2025-02-21,Organic,0.0,3535,74,3,270.59
2025-02-22,Google Ads,1124.55,111702,4655,212,21544.02
2025-02-22,Meta Ads,518.02,42534,1783,67,7618.6
2025-02-22,LinkedIn Ads,380.93,42495,2062,61,5322.63
2025-02-22,Email,130.95,13072,519,35,3526.59
2025-02-22,Organic,0.0,3087,60,2,174.23
2025-02-23,Google Ads,1013.84,106078,3070,146,13159.92
2025-02-23,Meta Ads,505.47,45030,2236,85,6577.71
2025-02-23,LinkedIn Ads,430.24,49869,2594,76,7487.68
2025-02-23,Email,115.83,14209,393,26,2579.79
2025-02-23,Organic,0.0,3321,136,4,252.28
2025-02-24,Google Ads,1163.61,108011,3989,194,19584.98
2025-02-24,Meta Ads,1093.07,105662,1646,62,5560.23
2025-02-24,LinkedIn Ads,526.92,52705,1933,60,3632.39
2025-02-24,Email,125.13,12337,379,29,2606.43
2025-02-24,Organic,0.0,4911,261,4,363.53
2025-02-25,Google Ads,857.5,65242,2246,110,7913.56
2025-02-25,Meta Ads,527.75,46673,2199,84,7640.02
2025-02-25,LinkedIn Ads,551.45,47621,1502,48,3983.33
2025-02-25,Email,115.22,12774,284,23,2031.69
2025-02-25,Organic,0.0,4859,227,2,165.49
2025-02-26,Google Ads,796.13,80879,1576,81,9978.45
2025-02-26,Meta Ads,772.28,90839,3712,151,10385.58
2025-02-26,LinkedIn Ads,417.65,43184,1089,35,3536.67
2025-02-26,Email,92.61,11212,469,35,3332.53
2025-02-26,Organic,0.0,5540,177,2,152.42
2025-02-27,Google Ads,881.94,90065,1993,105,7250.14
2025-02-27,Meta Ads,570.49,46992,1904,81,5242.12
2025-02-27,LinkedIn Ads,466.7,51593,1687,52,5752.67
2025-02-27,Email,107.62,7635,218,17,1752.04
2025-02-27,Organic,0.0,3625,138,1,81.95
2025-02-28,Google Ads,769.12,64298,1877,97,8294.59
2025-02-28,Meta Ads,565.25,41860,1968,86,5302.89
2025-02-28,LinkedIn Ads,433.09,44165,1235,43,4446.85
2025-02-28,Email,83.71,10852,450,38,3468.84
2025-02-28,Organic,0.0,4321,122,0,0.0
2025-03-01,Google Ads,924.86,106627,2326,128,7892.47
2025-03-01,Meta Ads,381.17,45476,684,26,2015.27
2025-03-01,LinkedIn Ads,324.67,35809,670,25,2429.99
2025-03-01,Email,99.41,12116,476,35,2988.05
2025-03-01,Organic,0.0,5056,83,0,0.0
2025-03-02,Google Ads,741.54,93594,3477,196,14166.59
2025-03-02,Meta Ads,419.82,40652,1586,75,6410.18
2025-03-02,LinkedIn Ads,425.13,51477,1201,43,3372.11
2025-03-02,Email,154.99,19013,945,79,7425.52
2025-03-02,Organic,0.0,3447,164,2,153.69
2025-03-03,Google Ads,919.65,115842,4402,257,14253.94
2025-03-03,Meta Ads,661.81,70404,1448,69,5745.33
2025-03-03,LinkedIn Ads,451.03,34867,1189,46,2818.93
2025-03-03,Email,121.08,9056,417,35,2466.0
2025-03-03,Organic,0.0,3042,107,0,0.0
2025-03-04,Google Ads,627.82,67286,2759,166,13578.53
2025-03-04,Meta Ads,960.88,70614,3869,189,15109.36
2025-03-04,LinkedIn Ads,338.66,37770,660,24,2097.81
2025-03-04,Email,120.09,14271,565,51,3199.05
2025-03-04,Organic,0.0,2623,128,4,380.41
2025-03-05,Google Ads,1285.77,117331,4226,256,16702.89
2025-03-05,Meta Ads,686.9,64036,3429,170,13456.98
2025-03-05,LinkedIn Ads,536.94,56340,2379,91,8359.54
2025-03-05,Email,84.19,7527,364,29,2688.09
2025-03-05,Organic,0.0,4520,241,3,253.61
2025-03-06,Google Ads,458.96,55379,1047,69,4630.18
2025-03-06,Meta Ads,692.98,62008,2759,135,10573.98
2025-03-06,LinkedIn Ads,312.52,36596,1854,68,6945.17
2025-03-06,Email,86.38,8314,209,18,1778.76
2025-03-06,Organic,0.0,3214,111,0,0.0
2025-03-07,Google Ads,982.45,95334,4795,300,22780.47
2025-03-07,Meta Ads,686.73,49637,2226,116,10861.14
2025-03-07,LinkedIn Ads,156.61,15303,836,33,2502.61
2025-03-07,Email,155.84,14762,545,48,3975.79
2025-03-07,Organic,0.0,4915,264,8,589.18
2025-03-08,Google Ads,580.09,47765,948,62,6505.22
2025-03-08,Meta Ads,797.34,86618,3136,160,15826.82
2025-03-08,LinkedIn Ads,405.7,42576,1912,77,7166.73
2025-03-08,Email,152.18,11821,337,28,1554.13
2025-03-08,Organic,0.0,4671,142,2,147.19
2025-03-09,Google Ads,947.38,94513,1465,93,8945.93
2025-03-09,Meta Ads,636.97,54464,2002,101,9502.39
2025-03-09,LinkedIn Ads,270.64,19819,551,22,1596.61
2025-03-09,Email,147.28,15077,665,61,4560.67
2025-03-09,Organic,0.0,4983,237,5,313.1
2025-03-10,Google Ads,1011.25,103687,4003,253,14297.63
2025-03-10,Meta Ads,713.73,74156,3155,162,15957.56
2025-03-10,LinkedIn Ads,337.76,32997,507,21,2045.96
2025-03-10,Email,92.2,11940,226,23,1809.13
2025-03-10,Organic,0.0,5020,186,5,533.49
2025-03-11,Google Ads,784.21,91773,3411,209,13219.7
2025-03-11,Meta Ads,506.4,39971,1088,53,2840.17
2025-03-11,LinkedIn Ads,458.91,48452,1485,59,6502.77
2025-03-11,Email,97.47,6841,272,26,1986.53
2025-03-11,Organic,0.0,5591,173,3,303.39
2025-03-12,Google Ads,779.02,65068,2805,172,14568.46
2025-03-12,Meta Ads,583.36,61813,2416,118,10713.02
2025-03-12,LinkedIn Ads,506.76,65330,1528,61,5259.63
2025-03-12,Email,159.2,14711,292,24,2321.7
2025-03-12,Organic,0.0,3330,79,4,377.85
2025-03-13,Google Ads,669.56,72426,3362,204,16646.96
2025-03-13,Meta Ads,532.1,64058,1944,98,10598.57
2025-03-13,LinkedIn Ads,351.12,31625,507,17,1480.93
2025-03-13,Email,66.95,5886,309,25,1526.99
2025-03-13,Organic,0.0,3080,149,4,308.04
2025-03-14,Google Ads,636.77,49673,905,47,3975.6
2025-03-14,Meta Ads,1010.14,97187,4293,203,18682.42
2025-03-14,LinkedIn Ads,300.16,34543,1425,53,4425.38
2025-03-14,Email,113.89,9760,242,20,1810.21
2025-03-14,Organic,0.0,5971,270,8,647.47
2025-03-15,Google Ads,895.19,64468,1128,62,3015.46
2025-03-15,Meta Ads,854.71,77642,3959,183,16971.25
2025-03-15,LinkedIn Ads,243.75,27750,1505,53,5136.44
2025-03-15,Email,82.37,6745,253,21,1773.77
2025-03-15,Organic,0.0,2883,154,1,109.44
2025-03-16,Google Ads,959.38,98534,5342,292,22665.16
2025-03-16,Meta Ads,455.59,46722,2180,102,10108.69
2025-03-16,LinkedIn Ads,455.13,43564,899,30,2044.07
2025-03-16,Email,139.51,10582,523,45,3648.88
2025-03-16,Organic,0.0,3087,53,3,257.57
2025-03-17,Google Ads,754.37,88394,2037,108,8031.37
2025-03-17,Meta Ads,610.67,54846,2482,105,9074.62
2025-03-17,LinkedIn Ads,363.95,35330,1921,66,5549.57
2025-03-17,Email,97.92,12196,445,32,2717.41
2025-03-17,Organic,0.0,4314,206,6,458.87
2025-03-18,Google Ads,488.08,57383,2186,113,11618.91
2025-03-18,Meta Ads,793.93,74437,3841,159,13795.77
2025-03-18,LinkedIn Ads,498.26,44347,2185,73,5914.23
2025-03-18,Email,134.5,17352,357,25,1931.61
2025-03-18,Organic,0.0,3112,137,1,99.16
2025-03-19,Google Ads,706.65,91373,3144,159,14391.54
2025-03-19,Meta Ads,592.16,52927,2904,119,8736.32
2025-03-19,LinkedIn Ads,349.79,32440,1749,56,3702.67
2025-03-19,Email,89.73,11223,218,16,1535.71
2025-03-19,Organic,0.0,5004,146,5,423.28
2025-03-20,Google Ads,675.16,76104,3655,177,14410.64
2025-03-20,Meta Ads,635.81,49922,1443,60,4809.91
2025-03-20,LinkedIn Ads,521.72,47550,2313,74,6738.14
2025-03-20,Email,119.27,12887,258,15,1542.23
2025-03-20,Organic,0.0,3435,52,0,0.0
2025-03-21,Google Ads,1095.27,90832,2671,127,13572.4
2025-03-21,Meta Ads,609.76,75742,1841,72,6926.28
2025-03-21,LinkedIn Ads,362.07,33589,808,22,1555.89
2025-03-21,Email,110.89,10508,494,33,2796.88
2025-03-21,Organic,0.0,2923,130,1,91.33
2025-03-22,Google Ads,802.07,99975,4514,214,21042.61
2025-03-22,Meta Ads,607.82,52814,2635,102,7681.97
2025-03-22,LinkedIn Ads,308.93,26108,404,12,680.66
2025-03-22,Email,111.11,11766,316,23,1656.94
2025-03-22,Organic,0.0,4231,74,0,0.0
2025-03-23,Google Ads,1178.69,102684,3303,154,15058.93
2025-03-23,Meta Ads,580.21,60574,2504,94,6981.18
2025-03-23,LinkedIn Ads,572.19,58085,947,28,2162.48
2025-03-23,Email,127.23,15858,532,35,2510.47
2025-03-23,Organic,0.0,3319,108,5,523.62
2025-03-24,Google Ads,1268.99,106907,3794,179,14554.32
2025-03-24,Meta Ads,552.43,54834,2253,86,8021.42
2025-03-24,LinkedIn Ads,404.36,43689,779,26,1920.44
2025-03-24,Email,80.4,7907,133,8,596.91
2025-03-24,Organic,0.0,2940,83,0,0.0
2025-03-25,Google Ads,561.44,46273,1650,79,6348.59
2025-03-25,Meta Ads,568.37,67156,2543,94,8152.19
2025-03-25,LinkedIn Ads,383.99,28885,1146,35,2807.5
2025-03-25,Email,96.12,9654,482,36,3027.24
2025-03-25,Organic,0.0,3406,69,0,0.0
2025-03-26,Google Ads,494.29,61518,2679,125,7660.27
2025-03-26,Meta Ads,856.63,102305,5442,212,18486.8
2025-03-26,LinkedIn Ads,561.22,43140,1309,41,2161.63
2025-03-26,Email,98.43,7604,241,16,1378.44
2025-03-26,Organic,0.0,5949,165,1,107.59
2025-03-27,Google Ads,1199.29,147851,5758,284,19280.28
2025-03-27,Meta Ads,701.19,53952,1142,46,3168.32
2025-03-27,LinkedIn Ads,420.99,50409,2754,89,8310.96
2025-03-27,Email,147.53,15040,495,34,2497.97
2025-03-27,Organic,0.0,3880,77,0,0.0
2025-03-28,Google Ads,1092.48,131901,5632,285,32091.93
2025-03-28,Meta Ads,569.54,49278,1342,54,5751.07
2025-03-28,LinkedIn Ads,452.81,54995,2841,91,5251.64
2025-03-28,Email,99.2,10409,310,25,2417.34
2025-03-28,Organic,0.0,4443,133,1,66.78
2025-03-29,Google Ads,683.01,48853,1994,102,6508.62
2025-03-29,Meta Ads,912.33,67788,2127,92,6186.9
2025-03-29,LinkedIn Ads,237.11,19697,1073,37,4194.72
2025-03-29,Email,106.14,8324,286,21,1635.15
2025-03-29,Organic,0.0,4622,94,1,82.64
2025-03-30,Google Ads,866.58,81221,2235,120,10126.97
2025-03-30,Meta Ads,493.73,38413,1859,78,4929.8
2025-03-30,LinkedIn Ads,137.62,17848,657,19,1672.54
2025-03-30,Email,96.66,7645,124,9,818.63
2025-03-30,Organic,0.0,4432,162,4,370.05
2025-03-31,Google Ads,494.76,42331,964,51,4206.37
2025-03-31,Meta Ads,617.38,53227,2855,124,11931.11
2025-03-31,LinkedIn Ads,292.73,28289,1132,40,1881.83
2025-03-31,Email,111.42,14443,725,60,6862.51
2025-03-31,Organic,0.0,5309,177,2,183.65
2025-04-01,Google Ads,1002.39,124713,2531,145,15945.16
2025-04-01,Meta Ads,973.33,88775,2959,135,11628.24
2025-04-01,LinkedIn Ads,363.84,26220,1410,54,4605.21
2025-04-01,Email,139.61,10557,477,35,2933.73
2025-04-01,Organic,0.0,3751,99,3,222.36
2025-04-02,Google Ads,954.11,94971,3617,206,21199.32
2025-04-02,Meta Ads,641.04,74278,2818,136,11142.91
2025-04-02,LinkedIn Ads,386.47,38889,1558,59,6747.0
2025-04-02,Email,112.76,12782,545,45,3320.72
2025-04-02,Organic,0.0,4499,215,6,431.88
2025-04-03,Google Ads,1225.56,158627,3652,218,22484.3
2025-04-03,Meta Ads,448.08,33221,505,25,2179.46
2025-04-03,LinkedIn Ads,338.08,31760,1395,53,5269.67
2025-04-03,Email,86.18,6159,167,18,1741.84
2025-04-03,Organic,0.0,4515,80,1,94.13
2025-04-04,Google Ads,795.76,79606,3724,227,18684.79
2025-04-04,Meta Ads,714.44,53135,1653,80,5883.88
2025-04-04,LinkedIn Ads,487.29,61278,1912,73,5900.16
2025-04-04,Email,139.0,13703,329,29,2475.07
2025-04-04,Organic,0.0,4056,95,5,389.11
2025-04-05,Google Ads,1034.56,126233,4185,258,22778.43
2025-04-05,Meta Ads,925.62,100175,3611,180,14713.58
2025-04-05,LinkedIn Ads,291.55,30261,599,21,1856.28
2025-04-05,Email,132.82,12496,266,22,2178.84
